Title,Year,Likes,IMDB,Wikipedia,Cast,Crew,Tags
21 Grams,2003,4,http://www.imdb.com/title/tt0315733/,http://en.wikipedia.org/wiki/21_Grams,"Sean Penn, Naomi Watts, Benicio del Toro, Danny Huston"
21 Jump Street,2012,3.5,http://www.imdb.com/title/tt1232829/,http://en.wikipedia.org/wiki/21_Jump_Street_%28film%29,"Channing Tatum, Jonah Hill"
A Clockwork Orange,1971,3,http://www.imdb.com/title/tt0066921/,http://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,"Stanley Kubrick, Malcolm McDowell"
About a Boy,2002,3.5,http://www.imdb.com/title/tt0276751/,http://en.wikipedia.org/wiki/About_a_Boy,"Hugh Grant, Nicholas Hoult, Toni Collette, Rachel Weisz"
Abraham Lincoln: Vampire Hunter,2012,3,http://www.imdb.com/title/tt1611224/,http://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter,"Benjamin Walker, Mary Elizabeth Winstead, Rufus Sewell, Timur Bekmambetov"
After Earth,2013,3,http://www.imdb.com/title/tt1815862/,http://en.wikipedia.org/wiki/After_Earth,"Jaden Smith, Will Smith, M. Night Shyamalan, James Newton Howard"
American Gangster,2007,4,http://www.imdb.com/title/tt0765429/,http://en.wikipedia.org/wiki/American_Gangster_%28film%29,"Denzel Washington, Russell Crowe, Ridley Scott"
Annie Hall,1977,3.5,http://www.imdb.com/title/tt0075686/,http://en.wikipedia.org/wiki/Annie_Hall,"Woody Allen"
Arbitrage,2012,3.5,http://www.imdb.com/title/tt1764183/,http://en.wikipedia.org/wiki/Arbitrage_%28film%29,"Richard Gere, Susan Sarandon"
Argo,2012,3,http://www.imdb.com/title/tt1024648/,http://en.wikipedia.org/wiki/Argo_%282012_film%29,"Ben Affleck"
As Good as It Gets,1997,4.5,http://www.imdb.com/title/tt0119822/,http://en.wikipedia.org/wiki/As_Good_as_It_Gets,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr."
Atonement,2007,3.5,http://www.imdb.com/title/tt0783233/,http://en.wikipedia.org/wiki/Atonement_%28film%29,"Keira Knightley, James McAvoy, Saoirse Ronan, Vanessa Redgrave, Benedict Cumberbatch"
