<star>,Speaker,Talk,URL,Tags
,Alison Gopnik,What do babies think?,http://www.ted.com/talks/alison_gopnik_what_do_babies_think,Brain|Children|Culture|Education|Psychology
,Arianna Huffington,How to succeed? Get more sleep,http://www.ted.com/talks/arianna_huffington_how_to_succeed_get_more_sleep,Business|Culture|Entertainment|Productivity
,Cameron Russell,"Looks aren't everything. Believe me, I'm a model.",http://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,Tedx|Beauty|Culture|Fashion|Photography
*,Chimamanda Ngozi Adichie,The danger of a single story,http://www.ted.com/talks/chimamanda_adichie_the_danger_of_a_single_story,Africa|Book|Culture|Identity|Storytelling|Writing
,Dan Pallotta,The way we think about charity is dead wrong,http://www.ted.com/talks/dan_pallotta_the_way_we_think_about_charity_is_dead_wrong,Business|Culture|Global issues|Philanthropy
,Heather Barnett,What humans can learn from semi-intelligent slime,http://www.ted.com/talks/heather_barnett_what_humans_can_learn_from_semi_intelligent_slime_1,Art|Biology|Science
*,Ken Robinson,How schools kill creativity,http://www.ted.com/talks/ken_robinson_says_schools_kill_creativity,Children|Creativity|Culture|Dance|Education|Parenting
,Phil Plait,How to defend Earth from asteroids,http://www.ted.com/talks/phil_plait_how_to_defend_earth_from_asteroids,Tedx|Astronomy|Science|Technology
,Robert Full,Learning from the gecko's tail,http://www.ted.com/talks/robert_full_learning_from_the_gecko_s_tail,Animals|Biology|Biomechanics|Design|Materials|Robots|Technology
*,Salman Khan,Let's use video to reinvent education,http://www.ted.com/talks/salman_khan_let_s_use_video_to_reinvent_education,Culture|Education|Global issues|Online video
